index,City,Date,Card Type,Exp Type,Gender,Amount
0,"Delhi, India",2020-10-29,Gold,Bills,F,
1,"Greater Mumbai, India",2019-08-22,Platinum,Bills,F,32555.0
2,"Bengaluru, India",2020-08-27,Silver,Bills,F,
3,"Greater Mumbai, India",2019-04-12,Signature,Bills,F,123424.0
4,"Bengaluru, India",2020-05-05,Gold,Bills,F,171574.0
5,"Delhi, India",2020-09-08,Silver,Bills,F,100036.0
6,,2019-02-24,Gold,Bills,F,143250.0
7,"Greater Mumbai, India",2019-06-26,Platinum,Bills,F,150980.0
8,"Delhi, India",2020-03-28,Silver,Bills,F,192247.0
9,"Delhi, India",2019-09-01,Platinum,Bills,F,67932.0
10,"Delhi, India",2020-06-22,Platinum,Bills,F,280061.0
11,"Greater Mumbai, India",,Signature,Bills,F,278036.0
12,"Greater Mumbai, India",2019-08-07,Gold,Bills,F,19226.0
13,"Delhi, India",2019-04-27,Signature,Bills,F,254359.0
14,"Greater Mumbai, India",2020-08-15,Signature,Bills,F,302834.0
15,"Greater Mumbai, India",2020-11-28,Platinum,Bills,F,647116.0
16,"Greater Mumbai, India",2019-06-14,Signature,Bills,F,421878.0
17,"Greater Mumbai, India",2019-03-30,Gold,Bills,F,986379.0
18,"Greater Mumbai, India",,Platinum,Bills,F,213047.0
19,"Greater Mumbai, India",2020-11-09,Platinum,Bills,F,735566.0
20,"Delhi, India",2020-04-04,Signature,Bills,F,366102.0
21,"Delhi, India",2020-07-01,Signature,Bills,F,809623.0
22,"Greater Mumbai, India",2020-03-27,Silver,Bills,F,467014.0
23,"Ahmedabad, India",,Gold,Bills,F,668568.0
24,"Ahmedabad, India",2020-03-26,Gold,Bills,F,339112.0
25,"Delhi, India",2019-09-27,Silver,Bills,F,622170.0
26,"Bengaluru, India",,Platinum,Bills,F,434427.0
27,"Greater Mumbai, India",2020-05-17,Signature,Bills,F,655846.0
28,"Bengaluru, India",2020-01-18,Platinum,Bills,F,987935.0
29,"Delhi, India",2020-04-18,Gold,Bills,F,702774.0
30,"Bengaluru, India",2020-07-31,Signature,Bills,F,225392.0
31,"Greater Mumbai, India",2020-02-11,Gold,Bills,F,296573.0
32,"Ahmedabad, India",2020-11-24,Platinum,Bills,F,227702.0
33,"Ahmedabad, India",2019-11-08,Gold,Bills,F,864090.0
34,"Ahmedabad, India",2020-09-06,Signature,Bills,F,440605.0
35,"Ahmedabad, India",2020-03-24,Platinum,Bills,F,954660.0
36,"Ahmedabad, India",2019-01-01,Signature,Bills,F,255577.0
37,"Ahmedabad, India",2020-07-12,Silver,Bills,F,337352.0
38,"Ahmedabad, India",2020-02-04,Platinum,Bills,F,660244.0
39,"Delhi, India",2019-02-03,Silver,Bills,F,401351.0
40,"Delhi, India",2020-10-27,Platinum,Bills,F,678842.0
41,"Delhi, India",2019-05-11,Gold,Bills,F,478861.0
42,"Bengaluru, India",,Platinum,Bills,F,804938.0
43,"Delhi, India",2020-01-30,Silver,Bills,F,888341.0
44,"Bengaluru, India",2020-04-19,Platinum,Bills,F,262414.0
45,"Bengaluru, India",2020-09-08,Gold,Bills,F,249353.0
46,"Ahmedabad, India",2020-12-10,Gold,Bills,F,892016.0
47,"Ahmedabad, India",2019-11-04,Platinum,Bills,F,
48,"Greater Mumbai, India",2020-06-01,Gold,Bills,F,314366.0
