index,City,Date,Card Type,Exp Type,Gender,Amount
0,"Delhi, India",29-Oct-20,Gold,Bills,,90060.0
1,"Greater Mumbai, India",22-Aug-19,Platinum,Bills,F,29980.0
2,"Bengaluru, India",27-Aug-20,Silver,Bills,F,111293.0
3,"Greater Mumbai, India",12-Apr-20,,Bills,F,116197.0
4,"Bengaluru, India",05-May-19,Gold,Bills,F,162189.0
5,"Delhi, India",08-Sep-20,Silver,Bills,F,91148.0
6,"Delhi, India",24-Feb-19,Gold,Bills,F,144746.0
7,"Greater Mumbai, India",26-Jun-20,Platinum,Bills,F,142240.0
8,"Delhi, India",28-Mar-19,Silver,Bills,F,183807.0
9,"Delhi, India",01-Sep-20,Platinum,Bills,F,66276.0
10,"Delhi, India",22-Jun-19,Platinum,Bills,F,257291.0
11,"Greater Mumbai, India",07-Dec-20,Signature,Bills,F,301902.0
12,"Greater Mumbai, India",14-Nov-19,,Bills,F,19389.0
13,,20-Aug-19,Signature,Bills,F,243247.0
14,"Greater Mumbai, India",15-Aug-20,Signature,,F,330015.0
15,"Greater Mumbai, India",28-Nov-20,Platinum,Bills,F,624038.0
16,"GreaterhMumbai, India",14-Jun-20,Signature,Bills,F,434367.0
17,"Greater Mumbai, India",30-Mar-20,Gold,Bills,F,1065836.0
18,"Greater Mumbai, India",15-Mar-20,Platinum,Bills,F,203812.0
19,"Greater Mumbai, India",,Platinum,Bills,F,716697.0
20,"Delhi, India",,Signature,Bills,F,396005.0
21,"Delhi, India",,Signature,Bills,F,760333.0
22,"Greater Mumbai, India",27-Mar-19,Silver,Bills,F,505735.0
23,"Ahmedabad, endia",,Gold,Bills,F,651297.0
24,"Ahmedabad, India",29-Jun-20,Gold,Bills,F,325907.0
25,"Delhi, India",27-Sep-19,Silver,Bills,F,632747.0
26,"Bengaluru, India",23-Mar-19,Platinum,Bills,F,405728.0
27,"Greater Mumbai, India",17-May-19,Signature,Bills,F,693890.0
28,"Bengaluru, India",18-Jan-20,Platinum,Bills,F,935489.0
29,"Delhi, India",18-Apr-19,Gold,Bills,F,743536.0
30,"Bengaluru, India",31-Jul-19,Signature,Bills,F,203376.0
31,"Greater Mumbai, India",,,Bills,F,274188.0
32,"Ahmedabad, India",29-Apr-19,,Bills,,209505.0
33,"Ahmedabad, India",08-Nov-20,Gold,Bills,F,791930.0
34,"Ahmedabad, India",11-Aug-19,Signature,Bills,F,448754.0
35,"Ahmedabad, India",,Platinum,Bills,F,967628.0
36,"Ahmedabad, India",01-Jan-20,Signature,Bills,F,237547.0
37,"Ahmedabad, India",12-Jul-20,Silver,Bills,F,319944.0
38,"Ahmedabad, India",04-Feb-20,Platinum,Bills,F,630754.0
39,"Delhi, India",03-Feb-19,Silver,Bills,F,418709.0
40,"Delhi, India",27-Oct-19,Platinum,Bills,,685519.0
41,"Delhi, India",11-May-19,Gold,Bills,F,514808.0
42,"Bengaluru, India",10-Nov-20,Platinum,Bills,F,803725.0
43,"Delhi, India",30-Jan-19,Silver,Bills,F,
44,"Bengaluru, India",,Platinum,Bills,F,243733.0
45,"Bengaluru, India",08-Sep-19,Gold,Bills,F,256933.0
46,"Ahmedabad, India",10-Dec-19,Gold,Bills,F,853527.0
47,"Ahmedabad, India",04-Nov-20,,Bills,F,316234.0
48,"Greater Mumbai, India",01-Jun-19,Gold,Bills,F,285636.0
49,Greater Mumbaik India,18-Jan-19,Signature,Bills,F,560359.0
50,"Delhi, India",04-Oct-19,Signature,Bills,,789803.0
51,"Greater Mumbai, India",31-Dec-19,Platinum,,,
52,"Ahmedabad, India",21-Dec-19,Signature,Bills,F,403632.0
53,"Delhi, India",07-Dec-19,Signature,Bills,F,676408.0
54,"Greater Mumbai, India",07-Feb-20,Signature,Bills,,599848.0
55,"Bengaauru, India",13-May-19,Silver,Bills,F,384659.0
56,"Ahmedabad, India",28-Jan-19,Signature,Bills,F,316724.0
57,"Delhi, India",09-Dec-20,Platinum,,F,299986.0
58,,08-Oct-20,Platinum,Bills,F,853147.0
59,"Ahmedabad, India",28-Dec-19,Silver,Bills,F,576631.0
60,"Delhi, India",22-Jul-19,Platinum,Bills,F,736632.0
61,,14-Mar-20,,Bills,F,400318.0
62,"Delhi, India",,Platinum,Bills,F,688772.0
63,"Greater Mumbai, India",29-Oct-19,Signature,Bills,F,580300.0
64,"Greater Mumbai, India",22-Jun-19,,Bills,F,595107.0
65,"Delhi, India",23-Jan-19,Platinum,Bills,F,356331.0
66,"Bengaluru, India",21-Oct-19,Gold,Bills,F,250116.0
67,"Greater Mumbai, India",13-Dec-20,Platinum,Bills,F,360554.0
68,"Greater Mumbai, India",,Gold,Bills,F,1061967.0
69,"Greater Mumbai, India",13-Jan-19,Gold,Bills,F,550663.0
70,"Greater Mumbai, India",08-May-19,Gold,Bills,F,795611.0
71,"Delhi, India",18-Feb-19,Silver,Bills,F,485596.0
72,"Delhi, Iidia",04-Oct-19,Signature,Bills,F,546920.0
73,"Greater Mumbai, India",14-Jun-20,Platinum,Bills,F,777058.0
74,"Ahmedabad, India",24-Aug-20,,Bills,F,493453.0
75,"Greater Mumbai, India",02-Apr-20,,Bills,,497873.0
76,"Greater Mumbai, India",27-Jun-19,Gold,Bills,F,780807.0
77,"Greater Mumbai, India",06-Feb-20,Platinum,Bills,F,688299.0
78,"Bengaluru, India",29-Mar-20,Silver,Bills,F,540941.0
79,"Ahmedabad, India",22-Apr-20,Platinum,Bills,F,614502.0
80,"Greater Mumbai, India",14-Oct-20,Platinum,Bills,F,1065647.0
81,"Ahmedabad, India",02-Feb-20,,Bills,F,993312.0
82,"Bengaluru, India",01-Apr-19,Platinum,Bills,F,869689.0
83,"Ahmedabad, India",05-Dec-19,Signature,Bills,F,292401.0
84,"Bengaluru, India",27-Mar-20,Gold,Bills,F,457353.0
85,"Ahmedabad, India",17-Feb-19,Silver,Bills,F,764718.0
86,"Bengaluru, India",28-Mar-20,Gold,Bills,F,712303.0
87,"Greater Mumbai, India",26-Feb-20,Silver,Bills,F,564605.0
88,"Greater Mumbai, India",07-May-20,Gold,Bills,F,770393.0
89,"Bengaluru, India",05-Jan-19,Gold,Bills,F,360719.0
90,"Bengaluru, India",07-Apr-20,Gold,Bills,F,464393.0
91,"Delhi, India",20-Feb-19,Signature,Bills,F,365860.0
92,"Bengaluru, India",04-Aug-19,Platinum,Bills,F,885804.0
93,"Ahmedabad, India",12-Nov-20,Gold,Bills,F,817610.0
94,"Greater Mumbai, India",21-Jul-20,Gold,Bills,F,
95,"Bengaluru, India",30-May-19,Gold,Bills,F,455156.0
96,"Bengaluru, India",01-Nov-20,Gold,Bills,F,874372.0
97,"Delhi, India",07-Dec-19,Signature,,F,694673.0
98,"Greater Mumbai, India",05-Aug-20,Silver,Bills,F,230138.0
99,"Greater Mumbai, India",08-Jan-19,Signature,Bills,F,838800.0
100,"Delhi, India",11-Apr-19,Platinum,Bills,F,573903.0
101,"Greater Mumbai, India",15-Feb-20,Signature,Bills,F,672155.0
102,"Bengaluru, India",24-Mar-20,Silver,Bills,F,
103,"Bengaluru, India",13-Oct-19,Signature,Bills,F,922976.0
104,"Greater Mumbai, India",24-Apr-20,Silver,Bills,F,873169.0
105,,09-Nov-20,Platinum,Bills,F,410025.0
106,"Bengaluru, India",04-Feb-19,Signature,Bills,F,384368.0
107,"Bengaluru, India",06-Mar-19,Signature,Bills,F,896181.0
108,"Greater Mumbai, India",27-Mar-20,Gold,Bills,F,838778.0
109,"Greater Mumbai, India",13-Nov-19,Signature,Bills,F,494423.0
110,"Greater Mumbai, India",22-Oct-20,Signature,Bills,F,1050271.0
111,"Greater Mumbai, India",27-Sep-20,Gold,Bills,F,956846.0
112,"Ahmedabad, India",14-Nov-20,Silver,Bills,F,480213.0
113,"Bengaluru, India",21-Oct-20,Platinum,Bills,F,347356.0
114,"Bengaluru, India",15-May-20,Silver,Bills,F,835442.0
115,"Bengaluru, India",21-Mar-19,Platinum,Bills,F,873821.0
116,"Bengaluru, India",03-Apr-20,Platinum,Bills,F,501792.0
117,"Ahmedabad, India",06-Apr-20,Signature,Bills,F,414605.0
118,"Ahmedabad, India",05-Nov-20,Platinum,Bills,F,452462.0
119,"Delhi, India",07-Oct-19,Platinum,Bills,F,916351.0
120,"Delhi,lIndia",31-Oct-19,Gold,Bills,F,430730.0
121,"Bengaluru, India",03-Apr-20,,Bills,F,236107.0
122,"Delhi, India",21-Nov-20,Gold,Bills,F,762246.0
123,"Delhi, India",11-May-19,Signature,Bills,F,879987.0
124,"Greater Mumbai, India",23-May-20,Gold,Bills,F,551145.0
125,"Bengaluru, India",22-May-19,Platinum,Bills,F,513245.0
126,"Greatpr Mumbai, India",15-Feb-20,Signature,Bills,F,510222.0
127,"Delhi, India",16-Jun-20,Gold,Bills,F,983788.0
128,"Delhi, Indib",27-Jan-19,Gold,Bills,F,
129,"Greater Mumbai, India",12-Apr-19,Silver,Bills,,513766.0
130,"Gceater Mumbai, India",29-Oct-20,Platinum,Bills,F,
131,"Bengaluru, India",20-Apr-19,Gold,Bills,F,521264.0
132,"Greater Mumbai, India",23-May-19,Silver,Bills,F,826530.0
133,"Greater Mumbai, India",18-Oct-20,Platinum,Bills,F,485809.0
134,"Delhi, India",27-Oct-19,Gold,Bills,F,950882.0
135,"Ahmedabad, India",14-Jul-20,Signature,Bills,,268260.0
136,"Delhi, India",18-Apr-20,Gold,Bills,F,
137,"Ahmedabad, India",25-Mar-19,Silver,Bills,F,801979.0
138,"Ahmedabad, India",01-Sep-19,Silver,Bills,,656648.0
139,,23-Mar-19,Gold,Bills,F,218416.0
140,,24-Jan-20,Silver,Bills,F,517084.0
141,,04-Oct-19,Gold,Bills,F,960576.0
142,"Delhi, India",14-Nov-19,Gold,,F,
143,"Bengaluru, India",03-Jan-20,Silver,,F,307450.0
144,"Greater Mumbai, India",,Signature,Bills,F,556370.0
145,"Bengaluru, India",01-Jul-19,Signature,Bills,F,771580.0
146,,21-Aug-20,Signature,Bills,F,442821.0
147,"Ahmedabad, India",20-Oct-19,Signature,Bills,F,276191.0
148,"Bengaluru, India",20-Apr-20,Silver,Bills,F,835190.0
149,"Ahmedabad, India",20-Nov-19,,Bills,F,220459.0
150,"Bengaluru, India",25-Sep-19,Signature,Bills,F,415414.0
151,"Ahmedabad, India",06-Feb-20,Gold,Bills,F,460394.0
152,"Bengaluru, India",26-Oct-20,Gold,Bills,F,912036.0
153,"Greater Mumbai, India",06-May-19,Signature,,F,554078.0
154,"Delhi, India",30-Sep-20,Silver,Bills,,236425.0
155,"Delhi, India",17-Jan-19,Platinum,Bills,F,328852.0
156,"Greater Mumbai, India",11-Jan-20,Gold,Bills,F,544954.0
157,"Bengaluru, India",,Silver,Bills,F,499509.0
158,"Bengaluru, India",10-Nov-20,Gold,Bills,F,756546.0
159,"Delhi, India",12-Jan-20,,Bills,F,227903.0
160,,18-Oct-20,Silver,Bills,F,722307.0
161,"Delhi, India",,Signature,Bills,F,598398.0
162,"Bengaluru, India",15-May-19,Gold,Bills,,458937.0
163,"Bengaluru, India",,Platinum,Bills,F,414158.0
164,"Ahmedabad, India",02-Oct-19,Silver,Bills,F,779376.0
165,,09-Apr-20,Gold,Bills,F,245966.0
166,"Bengaluru, India",06-Oct-20,Signature,Bills,,641585.0
167,"Greater Muxbai, India",05-Feb-19,Signature,Bills,F,967296.0
168,"Ahmedabad, India",,Platinum,Bills,F,780992.0
169,"Ahmedabad, India",19-Jan-20,Platinum,Bills,F,643128.0
170,"Greater Mumbai,zIndia",09-Nov-20,Platinum,Bills,F,696926.0
171,"Delhi, India",25-Mar-20,Silver,,F,874681.0
172,"Greater Mumbai, India",12-Nov-19,Gold,Bills,F,802084.0
173,,30-Oct-20,Platinum,Bills,F,476633.0
174,"Bengaluru, India",01-May-19,Signature,Bills,F,212041.0
175,"Bengaluru, India",31-Dec-19,Gold,Bills,F,
176,,26-Mar-20,Signature,Bills,F,566817.0
177,"Ahmedabad, India",28-Apr-20,Silver,Bills,,718685.0
178,"Greater Mumbai, India",,Signature,Bills,F,846199.0
179,"Greater Mumbai, India",27-Mar-20,Platinum,Bills,F,487468.0
180,"Ahmedabad, India",23-Sep-20,Silver,Bills,F,325272.0
181,"Ahmedabad, India",04-Mar-20,,Bills,F,321337.0
182,"Bengaluru, India",30-Nov-19,Signature,Bills,F,264149.0
183,"Ahmedabad, India",,Platinum,Bills,F,993866.0
184,"Bengaluru, India",12-Dec-19,Signature,Bills,F,430995.0
185,"Ahmedabad, India",16-Jun-20,Platinum,Bills,F,817806.0
186,,02-Jan-19,Gold,Bills,F,327562.0
187,,11-Dec-20,,Bills,F,
188,"Delhi, India",14-Dec-20,Gold,Bills,F,457225.0
189,,09-Jan-19,Gold,Bills,F,356768.0
190,"Ahmedabad, India",01-Dec-20,Platinum,Bills,F,583951.0
191,"Bengaluru, Indca",18-Mar-19,Silver,Bills,F,334473.0
192,"Ahmedabad, India",04-Feb-20,Silver,Bills,F,979507.0
193,"Greater Mumbai, India",15-May-20,Gold,Bills,F,1011790.0
194,"Delhi, India",01-Nov-20,,Bills,F,515433.0
195,"Delhi, India",28-Dec-19,Silver,Bills,F,966936.0
196,"Ahmedabad, India",31-May-19,Silver,Bills,F,733871.0
197,"Greater Mumbai, Ivdia",22-Aug-20,Platinum,Bills,F,331785.0
198,"Greater Mumbai, India",03-Mar-19,Platinum,Bills,F,764282.0
199,"Ahmedabad, India",17-Jan-20,Platinum,Bills,F,619995.0
200,"Delhi, India",23-Oct-19,Signature,Bills,F,652219.0
201,"Bengaluru, India",05-Aug-20,Platinum,Bills,F,1027799.0
202,"Ahmedabad, India",12-Oct-19,Gold,Bills,F,
203,"Ahmedafad, India",22-Jan-20,Silver,Bills,,603945.0
204,"Ahmedabad, India",25-Mar-19,Gold,Bills,F,892673.0
205,"Ahmedabad, India",10-Oct-19,Signature,Bills,F,847791.0
206,"Delhi, xndia",15-Nov-20,Silver,Bills,F,529769.0
207,"Bengaluru, India",21-Feb-19,,Bills,,688182.0
208,"Bengaluru, India",24-Apr-20,,Bills,F,478110.0
209,"Delhi, India",07-Sep-20,Platinum,Bills,F,832529.0
210,"Bengaluru, India",28-Dec-20,Gold,Bills,,411465.0
211,"Ahmedabad, India",13-Oct-19,Signature,Bills,F,789992.0
212,"Ahmedabad, India",03-Apr-19,Signature,Bills,F,860315.0
213,"Delhi, India",16-Feb-19,Signature,Bills,F,986747.0
214,"Greater Mumbai, India",03-Apr-20,,Bills,F,217123.0
215,"Delhi,nIndia",03-Nov-19,Platinum,Bills,F,805180.0
216,"Greater Mumbai, India",17-Apr-20,Signature,Bills,F,874831.0
217,"Delhi, India",22-Jan-20,Signature,Bills,F,319968.0
218,"Delhi, India",,Signature,Bills,F,747846.0
219,,13-Oct-20,Silver,Bills,F,768276.0
220,"Delhi, India",24-Aug-20,Platinum,Bills,F,352801.0
221,"Greater Mumbai, India",09-May-19,Silver,Bills,F,339597.0
